Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0 to 5 cm Depth Average Temp (°C),0 to 5 cm Depth Average WFV (%)
26/05/2019,88,6.5,9.7,2.6,12,SE,9.9,23.6,0,7.2,23
27/05/2019,60,10.7,20.2,-0.2,0.2,SSE,6.4,20.1,0,13.3,20.4
28/05/2019,43,17.1,26.5,4.8,0,SW,12.6,31.2,0,18.1,19
29/05/2019,49,19.2,28.3,6.7,0,SSW,6.2,23,0,20.6,18.2
30/05/2019,45,22,32.7,9.6,0,WSW,12.3,30.8,0,23.2,18
31/05/2019,55,12.1,16.7,7.4,0,WNW,20.4,37.3,3.2,16.2,17.4
01/06/2019,49,12.1,19.4,2.4,0,WSW,13.4,38.8,0,16.1,17.3
02/06/2019,44,11.8,19.8,1.5,0,SE,6.8,23.5,0,15.8,17.1
03/06/2019,48,19.2,32.7,7.6,0,SSE,13.2,40.6,0,19.6,16.9
04/06/2019,64,19.2,28.1,12.5,0,WSW,16.2,41.9,0,22.5,16.7
05/06/2019,56,18.7,28.5,6.9,0,S,8.7,32.4,0,22,16.4
06/06/2019,52,20.4,28.7,11.6,0,SE,10.8,27,0,24.1,16.1
07/06/2019,57,25.7,37.4,15.6,1,SSE,18,56.5,0,25.5,15.9
08/06/2019,89,16.6,21.4,10.7,11,WNW,12.8,33.4,0,17.3,18.4
09/06/2019,69,14.2,19.9,9.3,0.2,W,11.9,32.5,0,16,20.7
10/06/2019,56,14.5,21.5,7.6,0,W,9,26.5,0,19.3,18.6
11/06/2019,53,14.1,19.1,5.2,0.6,SSW,15,36.3,0,16.4,17.2
12/06/2019,49,13.5,23.5,2.7,0,SW,4.9,19.6,0,19.5,16.7
13/06/2019,50,18.9,26.8,9.6,0,S,10.4,27.1,0,20.8,16.4
14/06/2019,54,19.3,26.2,11.3,0,E,11.7,28.8,0,23.7,16.2
15/06/2019,73,13.4,16.8,11.1,2.8,SSE,9.1,23.4,0,14.7,15.8
16/06/2019,95,12.9,15.5,10.9,3.2,ESE,10.7,22.9,0,13.5,17.2
17/06/2019,91,15.2,20.9,11.7,3.4,WSW,8.3,22.1,0,No Data,No Data
18/06/2019,71,17.6,24.6,11.8,0,SW,5.9,17,0,No Data,No Data
19/06/2019,62,19.1,27.2,8.3,0,SSE,4.9,18.9,0,28.2,18.2
20/06/2019,65,19.4,26.9,8.9,0,SE,8.2,27.1,0,22.6,17.2
21/06/2019,73,18.7,24,13.2,8.4,ESE,9.8,34.2,0,19.6,17.4
22/06/2019,86,18.1,22.7,14.3,10,SSE,14.6,35.4,3,18,23.7
23/06/2019,77,18.6,24,12.7,0,SW,11,24.1,0,20.1,19.9
24/06/2019,75,19.2,26.4,10.9,2.4,W,8.6,38.3,0,22,19
25/06/2019,72,19.9,25.9,13.3,0,W,14.3,33.3,0,22.6,19
26/06/2019,66,20.7,28,12.1,0,W,9.3,29.3,0,24.9,18.2
27/06/2019,72,20.6,27.7,12.1,0,ESE,6.3,17.2,0,25.3,17.5
28/06/2019,63,22.1,29.9,12,0,ESE,6.3,17.7,0,26.4,16.9
29/06/2019,87,20.6,29.2,14.1,4.8,SE,7.3,34.5,0,22.2,17.7
30/06/2019,62,24,30.7,16.4,0,WSW,13.3,37.6,1.4,27.4,17.7
01/07/2019,60,21.6,28.4,12.5,0,SW,10.6,23.3,1.8,27,16.7
02/07/2019,70,20.5,25.2,15.4,0.8,WSW,11.3,39,0,25.9,16
03/07/2019,82,16.8,21.4,11.7,2.2,WSW,6.1,15.3,0,19.4,16.5
04/07/2019,70,19.8,26.6,12.4,0,W,7.8,22.4,0,23.9,18.1
05/07/2019,67,18.9,24.4,11.9,0,SW,10.4,26.6,0,24.2,17.4
06/07/2019,65,16.9,24.4,6.2,0,SW,6.3,22.2,0,23.5,16.4
07/07/2019,61,21.8,30.3,10,0,S,8.3,22.5,0,26.5,15.8
08/07/2019,91,21.5,28.9,17.6,3.2,SSE,8.6,23.1,0,22.9,16.7
09/07/2019,100,19.3,21.8,15.9,20,ESE,7.4,28.4,0,20.2,20.2
10/07/2019,84,20.6,25.4,13.8,8.8,NW,15.4,34.2,0,21.5,29.8
11/07/2019,84,21.8,29.2,12.6,0.6,SSW,13.8,36,1.1,23.6,23.3
12/07/2019,87,19.9,25.1,15.8,0,SSW,5.9,16.4,0,23.6,21.5
13/07/2019,78,22.9,30.6,12.5,0,S,4.9,18.5,0,27.2,20.5
14/07/2019,88,24.5,30.7,18.5,16.2,S,11.3,33.2,0,25.5,25.8
15/07/2019,85,23.8,28,17.2,18.8,WSW,12.2,50.4,0,24.5,27.5
16/07/2019,86,21.4,27.3,16.4,0,SSW,4.9,13.8,0,23.2,23.8
17/07/2019,98,19.8,25.2,16.5,5.8,S,5,16,0,20.8,24.3
18/07/2019,87,20.9,28.4,14.5,0.2,SW,8,30.1,0,22,24.3
19/07/2019,76,19.6,25.3,12.7,0,WSW,13.2,36.6,3.8,22.2,21.3
20/07/2019,81,17.9,23.8,11.7,0,WNW,9.9,29.7,0.1,21.4,19.5
21/07/2019,76,16.9,23.2,9.6,0,WSW,5.8,20.6,0,21.4,18.4
22/07/2019,75,19.3,27,10.2,0,W,6.5,16.9,0.5,22.9,17.2
23/07/2019,77,21.4,29.2,13.3,0,WSW,6.1,14.2,0,24.3,15.9
24/07/2019,75,22.8,30.7,12.2,0,S,9.4,23.4,0,25.2,14.7
25/07/2019,71,22.9,28.5,17.7,0,SW,13.6,29.9,1.9,25.7,13.5
26/07/2019,75,20,25.5,15.1,0,W,14.1,34.8,1.4,22.5,12.5
27/07/2019,75,22.8,30.8,16.1,0,WSW,8.7,18.9,0.7,25.6,12
28/07/2019,73,21.2,27.2,16.4,0.2,SW,14.9,33.7,4.3,21.9,11.2
29/07/2019,66,16.2,20.9,6.5,0,NW,15.6,37.1,0,20.9,10.9
30/07/2019,64,17,27.6,4,0,S,5.1,16.9,0,20.9,10.3
31/07/2019,77,21.2,31,7.8,0.8,SSE,9.4,27,0,23.6,10
